code,statement_family,missing_reason,row_count
000001.XSHE,income,,618
000001.XSHE,income,missing_raw_value,65
000001.XSHE,income,outside_current_available_window,42
000001.XSHE,income,missing_prior_cumulative_report,3
000001.XSHE,cash_flow,,1299
000001.XSHE,cash_flow,missing_raw_value,483
000001.XSHE,cash_flow,outside_current_available_window,111
000001.XSHE,cash_flow,missing_prior_cumulative_report,31
000001.XSHE,indicator,,1325
000001.XSHE,indicator,missing_raw_value,194
000001.XSHE,indicator,outside_current_available_window,93
000001.XSHE,balance,missing_raw_value,1691
000001.XSHE,balance,,1592
000001.XSHE,balance,outside_current_available_window,201
000001.XSHE,parent_balance,missing_target_report,1300
000001.XSHE,parent_balance,,642
000001.XSHE,parent_balance,missing_raw_value,508
000001.XSHE,parent_balance,outside_current_available_window,150
000001.XSHE,bank_indicator,,428
000001.XSHE,bank_indicator,provider_unavailable_annual_bank_indicator,159
000001.XSHE,bank_indicator,missing_raw_value,102
001227.XSHE,income,,215
001227.XSHE,income,outside_current_available_window,42
001227.XSHE,income,missing_raw_value,5
001227.XSHE,income,missing_prior_cumulative_report,4
001227.XSHE,cash_flow,,379
001227.XSHE,cash_flow,missing_raw_value,198
001227.XSHE,cash_flow,outside_current_available_window,111
001227.XSHE,cash_flow,missing_prior_cumulative_report,15
001227.XSHE,indicator,,427
001227.XSHE,indicator,outside_current_available_window,93
001227.XSHE,indicator,missing_raw_value,69
001227.XSHE,balance,,541
001227.XSHE,balance,missing_raw_value,531
001227.XSHE,balance,outside_current_available_window,201
001227.XSHE,parent_balance,,479
001227.XSHE,parent_balance,missing_raw_value,321
001227.XSHE,parent_balance,outside_current_available_window,150
001227.XSHE,bank_indicator,provider_unavailable_annual_bank_indicator,159
001227.XSHE,bank_indicator,,82
001227.XSHE,bank_indicator,missing_raw_value,24
002142.XSHE,income,,646
002142.XSHE,income,outside_current_available_window,42
002142.XSHE,income,missing_raw_value,38
002142.XSHE,income,missing_prior_cumulative_report,2
002142.XSHE,cash_flow,,1337
002142.XSHE,cash_flow,missing_raw_value,424
002142.XSHE,cash_flow,outside_current_available_window,111
002142.XSHE,cash_flow,missing_prior_cumulative_report,52
002142.XSHE,indicator,,1324
002142.XSHE,indicator,missing_raw_value,195
002142.XSHE,indicator,outside_current_available_window,93
002142.XSHE,balance,,1654
002142.XSHE,balance,missing_raw_value,1629
002142.XSHE,balance,outside_current_available_window,201
002142.XSHE,parent_balance,,1467
002142.XSHE,parent_balance,missing_raw_value,983
002142.XSHE,parent_balance,outside_current_available_window,150
002142.XSHE,bank_indicator,,393
002142.XSHE,bank_indicator,provider_unavailable_annual_bank_indicator,159
002142.XSHE,bank_indicator,missing_raw_value,137
002807.XSHE,income,,492
002807.XSHE,income,outside_current_available_window,42
002807.XSHE,income,missing_raw_value,37
002807.XSHE,income,missing_prior_cumulative_report,3
002807.XSHE,cash_flow,,1046
002807.XSHE,cash_flow,missing_raw_value,335
002807.XSHE,cash_flow,outside_current_available_window,111
002807.XSHE,cash_flow,missing_prior_cumulative_report,25
002807.XSHE,indicator,,1027
002807.XSHE,indicator,missing_raw_value,151
002807.XSHE,indicator,outside_current_available_window,93
002807.XSHE,balance,missing_raw_value,1281
002807.XSHE,balance,,1265
002807.XSHE,balance,outside_current_available_window,201
002807.XSHE,parent_balance,,835
002807.XSHE,parent_balance,missing_raw_value,565
002807.XSHE,parent_balance,missing_target_report,500
002807.XSHE,parent_balance,outside_current_available_window,150
002807.XSHE,bank_indicator,,273
002807.XSHE,bank_indicator,provider_unavailable_annual_bank_indicator,159
002807.XSHE,bank_indicator,missing_raw_value,151
002839.XSHE,income,,480
002839.XSHE,income,outside_current_available_window,42
002839.XSHE,income,missing_raw_value,21
002839.XSHE,income,missing_prior_cumulative_report,3
002839.XSHE,cash_flow,,934
002839.XSHE,cash_flow,missing_raw_value,362
002839.XSHE,cash_flow,outside_current_available_window,111
002839.XSHE,cash_flow,missing_prior_cumulative_report,36
002839.XSHE,indicator,,967
002839.XSHE,indicator,missing_raw_value,149
002839.XSHE,indicator,outside_current_available_window,93
002839.XSHE,balance,missing_raw_value,1270
002839.XSHE,balance,,1142
002839.XSHE,balance,outside_current_available_window,201
002839.XSHE,parent_balance,,738
002839.XSHE,parent_balance,missing_raw_value,562
002839.XSHE,parent_balance,missing_target_report,500
002839.XSHE,parent_balance,outside_current_available_window,150
002839.XSHE,bank_indicator,,261
002839.XSHE,bank_indicator,provider_unavailable_annual_bank_indicator,159
002839.XSHE,bank_indicator,missing_raw_value,110
002936.XSHE,income,,390
002936.XSHE,income,outside_current_available_window,42
002936.XSHE,income,missing_raw_value,29
002936.XSHE,income,missing_prior_cumulative_report,1
002936.XSHE,cash_flow,,787
002936.XSHE,cash_flow,missing_raw_value,296
002936.XSHE,cash_flow,outside_current_available_window,111
002936.XSHE,cash_flow,missing_prior_cumulative_report,27
002936.XSHE,indicator,,810
002936.XSHE,indicator,missing_raw_value,120
