code,statement_family,standardized_rows,audit_rows,missing_rows
000001.XSHE,income,728,728,110
000001.XSHE,cash_flow,1924,1924,625
000001.XSHE,indicator,1612,1612,287
000001.XSHE,balance,3484,3484,1892
000001.XSHE,parent_balance,2600,2600,1958
000001.XSHE,bank_indicator,689,689,261
001227.XSHE,income,266,266,51
001227.XSHE,cash_flow,703,703,324
001227.XSHE,indicator,589,589,162
001227.XSHE,balance,1273,1273,732
001227.XSHE,parent_balance,950,950,471
001227.XSHE,bank_indicator,265,265,183
002142.XSHE,income,728,728,82
002142.XSHE,cash_flow,1924,1924,587
002142.XSHE,indicator,1612,1612,288
002142.XSHE,balance,3484,3484,1830
002142.XSHE,parent_balance,2600,2600,1133
002142.XSHE,bank_indicator,689,689,296
002807.XSHE,income,574,574,82
002807.XSHE,cash_flow,1517,1517,471
002807.XSHE,indicator,1271,1271,244
002807.XSHE,balance,2747,2747,1482
002807.XSHE,parent_balance,2050,2050,1215
002807.XSHE,bank_indicator,583,583,310
002839.XSHE,income,546,546,66
002839.XSHE,cash_flow,1443,1443,509
002839.XSHE,indicator,1209,1209,242
002839.XSHE,balance,2613,2613,1471
002839.XSHE,parent_balance,1950,1950,1212
002839.XSHE,bank_indicator,530,530,269
002936.XSHE,income,462,462,72
002936.XSHE,cash_flow,1221,1221,434
002936.XSHE,indicator,1023,1023,213
002936.XSHE,balance,2211,2211,1316
002936.XSHE,parent_balance,1650,1650,828
002936.XSHE,bank_indicator,477,477,226
002948.XSHE,income,434,434,64
002948.XSHE,cash_flow,1147,1147,385
002948.XSHE,indicator,961,961,210
002948.XSHE,balance,2077,2077,1228
002948.XSHE,parent_balance,1550,1550,1054
002948.XSHE,bank_indicator,424,424,214
002958.XSHE,income,434,434,50
002958.XSHE,cash_flow,1147,1147,373
002958.XSHE,indicator,961,961,203
002958.XSHE,balance,2077,2077,1127
002958.XSHE,parent_balance,1550,1550,719
002958.XSHE,bank_indicator,424,424,222
002966.XSHE,income,406,406,67
002966.XSHE,cash_flow,1073,1073,355
002966.XSHE,indicator,899,899,197
002966.XSHE,balance,1943,1943,1082
002966.XSHE,parent_balance,1450,1450,974
002966.XSHE,bank_indicator,424,424,215
600000.XSHG,income,728,728,65
600000.XSHG,cash_flow,1924,1924,612
600000.XSHG,indicator,1612,1612,291
600000.XSHG,balance,3484,3484,1845
600000.XSHG,parent_balance,2600,2600,1207
600000.XSHG,bank_indicator,689,689,287
600015.XSHG,income,728,728,64
600015.XSHG,cash_flow,1924,1924,644
600015.XSHG,indicator,1612,1612,291
600015.XSHG,balance,3484,3484,2029
600015.XSHG,parent_balance,2600,2600,1237
600015.XSHG,bank_indicator,689,689,240
600016.XSHG,income,728,728,62
600016.XSHG,cash_flow,1924,1924,624
600016.XSHG,indicator,1612,1612,291
600016.XSHG,balance,3484,3484,1904
600016.XSHG,parent_balance,2600,2600,1193
600016.XSHG,bank_indicator,689,689,266
600036.XSHG,income,728,728,80
600036.XSHG,cash_flow,1924,1924,666
600036.XSHG,indicator,1612,1612,291
600036.XSHG,balance,3484,3484,1782
600036.XSHG,parent_balance,2600,2600,1168
600036.XSHG,bank_indicator,689,689,255
600908.XSHG,income,574,574,79
600908.XSHG,cash_flow,1517,1517,452
600908.XSHG,indicator,1271,1271,245
600908.XSHG,balance,2747,2747,1499
600908.XSHG,parent_balance,2050,2050,961
600908.XSHG,bank_indicator,583,583,258
600919.XSHG,income,574,574,76
600919.XSHG,cash_flow,1517,1517,479
600919.XSHG,indicator,1271,1271,245
600919.XSHG,balance,2747,2747,1595
600919.XSHG,parent_balance,2050,2050,1206
600919.XSHG,bank_indicator,583,583,288
600926.XSHG,income,560,560,115
600926.XSHG,cash_flow,1480,1480,479
600926.XSHG,indicator,1240,1240,241
600926.XSHG,balance,2680,2680,1562
600926.XSHG,parent_balance,2000,2000,1177
600926.XSHG,bank_indicator,583,583,285
600928.XSHG,income,434,434,70
600928.XSHG,cash_flow,1147,1147,430
600928.XSHG,indicator,961,961,220
600928.XSHG,balance,2077,2077,1213
600928.XSHG,parent_balance,1550,1550,913
600928.XSHG,bank_indicator,424,424,216
601009.XSHG,income,728,728,77
601009.XSHG,cash_flow,1924,1924,586
601009.XSHG,indicator,1612,1612,289
601009.XSHG,balance,3484,3484,1861
601009.XSHG,parent_balance,2600,2600,1439
601009.XSHG,bank_indicator,689,689,242
601077.XSHG,income,392,392,60
601077.XSHG,cash_flow,1036,1036,373
601077.XSHG,indicator,868,868,193
601077.XSHG,balance,1876,1876,1100
601077.XSHG,parent_balance,1400,1400,740
601077.XSHG,bank_indicator,424,424,195
601128.XSHG,income,574,574,66
601128.XSHG,cash_flow,1517,1517,455
601128.XSHG,indicator,1271,1271,245
601128.XSHG,balance,2747,2747,1517
601128.XSHG,parent_balance,2050,2050,1231
601128.XSHG,bank_indicator,583,583,267
601166.XSHG,income,728,728,75
601166.XSHG,cash_flow,1924,1924,629
601166.XSHG,indicator,1612,1612,289
601166.XSHG,balance,3484,3484,1835
601166.XSHG,parent_balance,2600,2600,1176
601166.XSHG,bank_indicator,689,689,225
601169.XSHG,income,728,728,99
601169.XSHG,cash_flow,1924,1924,607
601169.XSHG,indicator,1612,1612,289
601169.XSHG,balance,3484,3484,1911
601169.XSHG,parent_balance,2600,2600,1213
601169.XSHG,bank_indicator,689,689,291
601187.XSHG,income,336,336,61
601187.XSHG,cash_flow,888,888,324
601187.XSHG,indicator,744,744,177
601187.XSHG,balance,1608,1608,957
601187.XSHG,parent_balance,1200,1200,882
601187.XSHG,bank_indicator,371,371,216
601229.XSHG,income,560,560,75
601229.XSHG,cash_flow,1480,1480,497
601229.XSHG,indicator,1240,1240,241
601229.XSHG,balance,2680,2680,1502
601229.XSHG,parent_balance,2000,2000,1030
601229.XSHG,bank_indicator,583,583,257
601288.XSHG,income,728,728,67
601288.XSHG,cash_flow,1924,1924,635
601288.XSHG,indicator,1612,1612,291
601288.XSHG,balance,3484,3484,1863
601288.XSHG,parent_balance,2600,2600,1208
601288.XSHG,bank_indicator,689,689,223
601328.XSHG,income,728,728,64
601328.XSHG,cash_flow,1924,1924,622
601328.XSHG,indicator,1612,1612,291
601328.XSHG,balance,3484,3484,1809
601328.XSHG,parent_balance,2600,2600,1100
601328.XSHG,bank_indicator,689,689,256
601398.XSHG,income,728,728,84
601398.XSHG,cash_flow,1924,1924,624
601398.XSHG,indicator,1612,1612,289
601398.XSHG,balance,3484,3484,2016
601398.XSHG,parent_balance,2600,2600,1325
601398.XSHG,bank_indicator,689,689,221
601528.XSHG,income,308,308,61
601528.XSHG,cash_flow,814,814,268
601528.XSHG,indicator,682,682,174
601528.XSHG,balance,1474,1474,898
601528.XSHG,parent_balance,1100,1100,638
601528.XSHG,bank_indicator,318,318,205
601577.XSHG,income,462,462,55
601577.XSHG,cash_flow,1221,1221,351
601577.XSHG,indicator,1023,1023,218
601577.XSHG,balance,2211,2211,1306
601577.XSHG,parent_balance,1650,1650,849
601577.XSHG,bank_indicator,477,477,226
601658.XSHG,income,392,392,43
601658.XSHG,cash_flow,1036,1036,378
601658.XSHG,indicator,868,868,193
601658.XSHG,balance,1876,1876,1129
601658.XSHG,parent_balance,1400,1400,736
601658.XSHG,bank_indicator,424,424,196
601665.XSHG,income,308,308,51
601665.XSHG,cash_flow,814,814,295
601665.XSHG,indicator,682,682,174
601665.XSHG,balance,1474,1474,863
601665.XSHG,parent_balance,1100,1100,557
601665.XSHG,bank_indicator,318,318,191
601818.XSHG,income,728,728,65
601818.XSHG,cash_flow,1924,1924,657
601818.XSHG,indicator,1612,1612,289
601818.XSHG,balance,3484,3484,1942
601818.XSHG,parent_balance,2600,2600,1231
601818.XSHG,bank_indicator,689,689,253
601825.XSHG,income,294,294,54
601825.XSHG,cash_flow,777,777,302
601825.XSHG,indicator,651,651,170
601825.XSHG,balance,1407,1407,851
601825.XSHG,parent_balance,1050,1050,807
601825.XSHG,bank_indicator,318,318,203
601838.XSHG,income,490,490,78
601838.XSHG,cash_flow,1295,1295,457
601838.XSHG,indicator,1085,1085,226
601838.XSHG,balance,2345,2345,1368
601838.XSHG,parent_balance,1750,1750,1143
601838.XSHG,bank_indicator,477,477,227
601860.XSHG,income,434,434,98
601860.XSHG,cash_flow,1147,1147,385
601860.XSHG,indicator,961,961,205
601860.XSHG,balance,2077,2077,1213
601860.XSHG,parent_balance,1550,1550,1550
601860.XSHG,bank_indicator,424,424,236
601916.XSHG,income,392,392,66
601916.XSHG,cash_flow,1036,1036,375
601916.XSHG,indicator,868,868,198
601916.XSHG,balance,1876,1876,1129
601916.XSHG,parent_balance,1400,1400,861
601916.XSHG,bank_indicator,424,424,193
601939.XSHG,income,728,728,62
601939.XSHG,cash_flow,1924,1924,613
601939.XSHG,indicator,1612,1612,289
601939.XSHG,balance,3484,3484,1883
601939.XSHG,parent_balance,2600,2600,1187
601939.XSHG,bank_indicator,689,689,219
601963.XSHG,income,322,322,50
601963.XSHG,cash_flow,851,851,326
601963.XSHG,indicator,713,713,178
601963.XSHG,balance,1541,1541,901
601963.XSHG,parent_balance,1150,1150,605
601963.XSHG,bank_indicator,318,318,178
601988.XSHG,income,728,728,63
601988.XSHG,cash_flow,1924,1924,575
601988.XSHG,indicator,1612,1612,289
601988.XSHG,balance,3484,3484,1750
601988.XSHG,parent_balance,2600,2600,1081
601988.XSHG,bank_indicator,689,689,289
601997.XSHG,income,574,574,78
601997.XSHG,cash_flow,1517,1517,503
601997.XSHG,indicator,1271,1271,245
601997.XSHG,balance,2747,2747,1594
601997.XSHG,parent_balance,2050,2050,1032
601997.XSHG,bank_indicator,583,583,238
601998.XSHG,income,728,728,65
601998.XSHG,cash_flow,1924,1924,628
601998.XSHG,indicator,1612,1612,289
601998.XSHG,balance,3484,3484,1820
601998.XSHG,parent_balance,2600,2600,1251
601998.XSHG,bank_indicator,689,689,227
603323.XSHG,income,560,560,79
603323.XSHG,cash_flow,1480,1480,455
603323.XSHG,indicator,1240,1240,241
603323.XSHG,balance,2680,2680,1501
603323.XSHG,parent_balance,2000,2000,1224
603323.XSHG,bank_indicator,583,583,261
