rebalance_date,quarter_end_date,bond_code,trade_day_count,start_close,end_close,period_total_return,bond_forward_return
2014-05-05,2014-09-01,511010.XSHG,85,98.756,100.05,0.0131030013,0.0001566538
2014-09-01,2014-11-03,511010.XSHG,40,100.05,103.023,0.0297151424,0.0007536345
2014-11-03,2015-04-29,511010.XSHG,120,103.023,107.099,0.0395639809,0.000328896
2015-04-29,2015-05-04,511010.XSHG,3,107.099,106.912,-0.001746048,-0.0008712103
2015-05-04,2015-09-01,511010.XSHG,86,106.912,109.13,0.0207460341,0.0002450035
2015-09-01,2015-11-02,511010.XSHG,38,109.13,108.836,-0.0026940346,-7.05183e-05
2015-11-02,2016-04-29,511010.XSHG,123,108.836,110.689,0.0170256165,0.0001398462
2016-04-29,2016-05-03,511010.XSHG,2,110.689,110.752,0.0005691622,0.0005691622
2016-05-03,2016-09-01,511010.XSHG,86,110.752,112.661,0.017236709,0.000201478
2016-09-01,2016-11-01,511010.XSHG,37,112.661,113.501,0.0074559963,0.0002066436
2016-11-01,2017-05-02,511010.XSHG,122,113.501,110.05,-0.0304050185,-0.000252394
2017-05-02,2017-09-01,511010.XSHG,87,110.05,109.951,-0.0008995911,-9.6211e-06
2017-09-01,2017-11-01,511010.XSHG,39,109.951,109.257,-0.0063119026,-0.0001663805
2017-11-01,2018-05-02,511010.XSHG,121,109.257,112.275,0.0276229441,0.0002280615
2018-05-02,2018-09-03,511010.XSHG,88,112.275,113.31,0.0092184369,0.0001064849
2018-09-03,2018-11-01,511010.XSHG,38,113.31,114.39,0.0095313741,0.0002572601
2018-11-01,2019-05-06,511010.XSHG,122,114.39,116.1,0.0149488592,0.000123591
2019-05-06,2019-09-02,511010.XSHG,85,116.1,118.149,0.0176485788,0.0002087792
2019-09-02,2019-11-01,511010.XSHG,39,118.149,118.021,-0.0010833778,-2.81128e-05
2019-11-01,2020-05-06,511010.XSHG,123,118.021,126.176,0.0690978724,0.0005507523
2020-05-06,2020-09-01,511010.XSHG,83,126.176,120.853,-0.0421871037,-0.0005228476
2020-09-01,2020-11-02,511010.XSHG,39,120.853,121.177,0.002680943,7.12703e-05
2020-11-02,2021-05-06,511010.XSHG,124,121.177,122.633,0.0120154815,9.77772e-05
