schedule,rebalance_date,next_rebalance_date,hold_count,turnover_ratio,period_return,selected_codes
daily,2019-01-02,2019-01-03,5,1.0,0.0044127223548838575,"600919.XSHG,002142.XSHE,601939.XSHG,600016.XSHG,601166.XSHG"
daily,2019-01-03,2019-01-04,5,0.4,0.027631175101875228,"600919.XSHG,601939.XSHG,000001.XSHE,600036.XSHG,601166.XSHG"
daily,2019-01-04,2019-01-07,5,0.8,-0.002830760619678929,"002142.XSHE,601229.XSHG,601288.XSHG,601939.XSHG,601398.XSHG"
daily,2019-01-07,2019-01-08,5,0.6,-0.005409885904175371,"600036.XSHG,601328.XSHG,600919.XSHG,002142.XSHE,601229.XSHG"
daily,2019-01-08,2019-01-09,5,0.4,0.01343807421846377,"600036.XSHG,002142.XSHE,000001.XSHE,601229.XSHG,601166.XSHG"
daily,2019-01-09,2019-01-10,5,0.4,-0.0012805744645149053,"600000.XSHG,002142.XSHE,601169.XSHG,601229.XSHG,600036.XSHG"
daily,2019-01-10,2019-01-11,5,0.6,0.010517006989076672,"601166.XSHG,600036.XSHG,600000.XSHG,601939.XSHG,601328.XSHG"
daily,2019-01-11,2019-01-14,5,1.0,-0.005541916380768619,"002142.XSHE,601229.XSHG,600016.XSHG,601398.XSHG,600919.XSHG"
daily,2019-01-14,2019-01-15,5,0.6,0.011751506436627368,"002142.XSHE,600036.XSHG,601169.XSHG,600016.XSHG,601939.XSHG"
daily,2019-01-15,2019-01-16,5,0.4,0.0060367678730617325,"600036.XSHG,000001.XSHE,002142.XSHE,600000.XSHG,601169.XSHG"
daily,2019-01-16,2019-01-17,5,0.4,-0.00439777354380686,"600036.XSHG,600919.XSHG,002142.XSHE,600016.XSHG,601169.XSHG"
daily,2019-01-17,2019-01-18,5,0.19999999999999996,0.01931072068563542,"600036.XSHG,002142.XSHE,600919.XSHG,601009.XSHG,600016.XSHG"
daily,2019-01-18,2019-01-21,5,0.8,0.003073840052255683,"002142.XSHE,601328.XSHG,601229.XSHG,000001.XSHE,601818.XSHG"
daily,2019-01-21,2019-01-22,5,0.6,-0.010875994349486783,"002142.XSHE,601169.XSHG,601818.XSHG,600036.XSHG,600000.XSHG"
daily,2019-01-22,2019-01-23,5,0.6,0.005191051578680028,"601169.XSHG,002142.XSHE,601288.XSHG,600015.XSHG,000001.XSHE"
daily,2019-01-23,2019-01-24,5,0.8,0.006607072449380702,"002142.XSHE,601988.XSHG,601939.XSHG,601166.XSHG,601998.XSHG"
daily,2019-01-24,2019-01-25,5,0.8,0.01409513299129972,"601009.XSHG,601169.XSHG,600919.XSHG,601939.XSHG,601398.XSHG"
daily,2019-01-25,2019-01-28,5,0.6,0.0010585483229476722,"600000.XSHG,601169.XSHG,601328.XSHG,600036.XSHG,600919.XSHG"
daily,2019-01-28,2019-01-29,5,0.4,0.004119776655964591,"601328.XSHG,601169.XSHG,600016.XSHG,601288.XSHG,600919.XSHG"
daily,2019-01-29,2019-01-30,5,0.8,-0.001880290983605515,"600036.XSHG,601288.XSHG,002142.XSHE,601939.XSHG,000001.XSHE"
daily,2019-01-30,2019-01-31,5,0.4,0.011296551169987979,"601009.XSHG,600036.XSHG,002142.XSHE,600919.XSHG,601288.XSHG"
daily,2019-01-31,2019-02-01,5,0.4,0.0029244155571537477,"000001.XSHE,002142.XSHE,601288.XSHG,601009.XSHG,600000.XSHG"
daily,2019-02-01,2019-02-11,5,0.6,-0.0016862321319360608,"601169.XSHG,601998.XSHG,002142.XSHE,601288.XSHG,600036.XSHG"
daily,2019-02-11,2019-02-12,5,0.6,4.306419599584554e-05,"601398.XSHG,600036.XSHG,601988.XSHG,000001.XSHE,601288.XSHG"
daily,2019-02-12,2019-02-13,5,0.6,0.011915779319465258,"601398.XSHG,601939.XSHG,600000.XSHG,601288.XSHG,601166.XSHG"
daily,2019-02-13,2019-02-14,5,0.6,-0.0078013035786401504,"601288.XSHG,601398.XSHG,600036.XSHG,002142.XSHE,000001.XSHE"
daily,2019-02-14,2019-02-15,5,1.0,-0.01957489997321995,"601998.XSHG,601328.XSHG,601818.XSHG,601166.XSHG,600015.XSHG"
daily,2019-02-15,2019-02-18,5,0.8,0.016151304761785834,"600000.XSHG,601818.XSHG,600919.XSHG,601988.XSHG,601009.XSHG"
daily,2019-02-18,2019-02-19,5,0.6,-0.0016130063249810255,"601328.XSHG,600000.XSHG,600015.XSHG,600036.XSHG,601009.XSHG"
daily,2019-02-19,2019-02-20,5,0.19999999999999996,0.0015703434368409485,"600036.XSHG,601988.XSHG,601328.XSHG,600015.XSHG,600000.XSHG"
daily,2019-02-20,2019-02-21,5,0.8,-0.004190414097093242,"002142.XSHE,601398.XSHG,601998.XSHG,601939.XSHG,600036.XSHG"
daily,2019-02-21,2019-02-22,5,0.6,0.01112612889054918,"000001.XSHE,601939.XSHG,601818.XSHG,601998.XSHG,601288.XSHG"
daily,2019-02-22,2019-02-25,5,0.6,0.06805052360275701,"600036.XSHG,601818.XSHG,601988.XSHG,000001.XSHE,600000.XSHG"
daily,2019-02-25,2019-02-26,5,0.19999999999999996,-0.023410689240030425,"600036.XSHG,000001.XSHE,601818.XSHG,601988.XSHG,601166.XSHG"
daily,2019-02-26,2019-02-27,5,0.4,0.01917952962063594,"000001.XSHE,600036.XSHG,601009.XSHG,601998.XSHG,601818.XSHG"
daily,2019-02-27,2019-02-28,5,0.6,-0.00639632012289808,"600036.XSHG,000001.XSHE,601288.XSHG,601988.XSHG,601939.XSHG"
daily,2019-02-28,2019-03-01,5,0.4,0.030066799679991662,"000001.XSHE,600036.XSHG,601939.XSHG,601009.XSHG,600016.XSHG"
daily,2019-03-01,2019-03-04,5,0.6,0.004429568332728273,"600926.XSHG,601009.XSHG,601988.XSHG,600036.XSHG,002142.XSHE"
daily,2019-03-04,2019-03-05,5,0.19999999999999996,-0.003473534804579148,"600036.XSHG,002142.XSHE,000001.XSHE,601988.XSHG,601009.XSHG"
daily,2019-03-05,2019-03-06,5,0.8,0.010027598376922442,"601009.XSHG,601818.XSHG,601229.XSHG,601998.XSHG,601997.XSHG"
daily,2019-03-06,2019-03-07,5,0.8,-0.02067445857712178,"000001.XSHE,600036.XSHG,601818.XSHG,002142.XSHE,601988.XSHG"
daily,2019-03-07,2019-03-08,5,0.4,-0.03326660441581164,"601939.XSHG,601988.XSHG,600016.XSHG,002142.XSHE,600036.XSHG"
daily,2019-03-08,2019-03-11,5,0.8,0.003181437625654504,"600016.XSHG,601398.XSHG,600000.XSHG,601288.XSHG,000001.XSHE"
daily,2019-03-11,2019-03-12,5,0.8,0.0019386688753719294,"601997.XSHG,600926.XSHG,601398.XSHG,600919.XSHG,601229.XSHG"
daily,2019-03-12,2019-03-13,5,0.4,-0.002184774795234845,"601009.XSHG,601997.XSHG,600926.XSHG,601398.XSHG,601939.XSHG"
daily,2019-03-13,2019-03-14,5,0.6,-0.005675580240313382,"601997.XSHG,601009.XSHG,601988.XSHG,600016.XSHG,601288.XSHG"
daily,2019-03-14,2019-03-15,5,0.6,0.002509349905547453,"002142.XSHE,601988.XSHG,601939.XSHG,600015.XSHG,600016.XSHG"
daily,2019-03-15,2019-03-18,5,0.6,0.01531559537955358,"600926.XSHG,601288.XSHG,600016.XSHG,600015.XSHG,601818.XSHG"
daily,2019-03-18,2019-03-19,5,0.8,0.0010015418915774621,"600919.XSHG,600926.XSHG,002142.XSHE,601166.XSHG,601229.XSHG"
daily,2019-03-19,2019-03-20,5,0.8,-0.00014977331981127495,"601288.XSHG,600000.XSHG,600926.XSHG,601328.XSHG,601939.XSHG"
daily,2019-03-20,2019-03-21,5,0.6,-0.005872628230862165,"601939.XSHG,601229.XSHG,601998.XSHG,601288.XSHG,600016.XSHG"
daily,2019-03-21,2019-03-22,5,0.8,-0.005562994995625914,"600926.XSHG,600015.XSHG,601009.XSHG,600919.XSHG,601288.XSHG"
daily,2019-03-22,2019-03-25,5,0.4,-0.022733873568089112,"002142.XSHE,600919.XSHG,601009.XSHG,600926.XSHG,000001.XSHE"
daily,2019-03-25,2019-03-26,5,0.6,-0.013900275937869822,"600926.XSHG,600919.XSHG,601838.XSHG,601998.XSHG,600015.XSHG"
daily,2019-03-26,2019-03-27,5,0.4,0.006144340677729598,"600015.XSHG,601998.XSHG,601229.XSHG,601328.XSHG,600919.XSHG"
daily,2019-03-27,2019-03-28,5,0.6,-0.008003355340454732,"601998.XSHG,601009.XSHG,600919.XSHG,600926.XSHG,601988.XSHG"
daily,2019-03-28,2019-03-29,5,0.4,0.03167997476649829,"600919.XSHG,002142.XSHE,600015.XSHG,601998.XSHG,601009.XSHG"
daily,2019-03-29,2019-04-01,5,0.6,0.021169923103561895,"600919.XSHG,600926.XSHG,600016.XSHG,601988.XSHG,601009.XSHG"
daily,2019-04-01,2019-04-02,5,0.6,-0.0016118145247490778,"600919.XSHG,601998.XSHG,601229.XSHG,002142.XSHE,601988.XSHG"
daily,2019-04-02,2019-04-03,5,0.19999999999999996,0.00943967623373454,"600919.XSHG,002142.XSHE,000001.XSHE,601229.XSHG,601998.XSHG"
daily,2019-04-03,2019-04-04,5,0.4,0.02329794913563803,"002142.XSHE,000001.XSHE,600919.XSHG,601009.XSHG,600036.XSHG"
