rebalance_date,next_rebalance_date,approved_pool_count,overlay_eligible_count,baseline_hold_count,overlay_hold_count,baseline_period_return,overlay_period_return,baseline_codes,overlay_codes
2021-05-31,2021-06-07,7,6,7,5,-0.0067970717319757136,-0.006546299708863312,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","601838.XSHG,600036.XSHG,601009.XSHG,600926.XSHG,601658.XSHG"
2021-06-07,2021-06-15,7,6,7,5,-0.04219998298762833,-0.046594604049741584,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","600926.XSHG,600036.XSHG,002142.XSHE,601009.XSHG,601838.XSHG"
2021-06-15,2021-06-21,7,6,7,5,-0.021776890385316876,-0.031621367469676184,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","601838.XSHG,600926.XSHG,601658.XSHG,002142.XSHE,600036.XSHG"
2021-06-21,2021-06-28,7,6,7,5,0.017196970785568953,0.01843761240061581,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","601009.XSHG,600036.XSHG,002142.XSHE,601658.XSHG,601838.XSHG"
2021-06-28,2021-07-05,7,6,7,5,-0.007540586617846338,-0.0027493670731170592,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","600926.XSHG,601838.XSHG,601658.XSHG,601009.XSHG,600036.XSHG"
2021-07-05,2021-07-12,7,6,7,5,-0.05678080278005883,-0.06736701432147185,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","601009.XSHG,600926.XSHG,601658.XSHG,601838.XSHG,002142.XSHE"
2021-07-12,2021-07-19,7,6,7,5,0.03186605133384653,0.04611548308156208,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","601658.XSHG,600036.XSHG,601009.XSHG,002142.XSHE,600926.XSHG"
2021-07-19,2021-07-26,7,6,7,5,-0.043439049473283205,-0.05832646022336892,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","600036.XSHG,002142.XSHE,601009.XSHG,601658.XSHG,600926.XSHG"
2021-07-26,2021-08-02,7,6,7,5,-0.018741541171375182,-0.018514102553906953,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","601838.XSHG,600926.XSHG,002142.XSHE,600036.XSHG,601658.XSHG"
2021-08-02,2021-08-09,7,6,7,5,0.010584214904116445,0.005095447957629973,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","601838.XSHG,601658.XSHG,601009.XSHG,002142.XSHE,600926.XSHG"
2021-08-09,2021-08-16,7,6,7,5,0.037918761779648445,0.055686563769177376,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","601658.XSHG,601838.XSHG,600036.XSHG,600926.XSHG,601009.XSHG"
2021-08-16,2021-08-23,7,6,7,5,-0.007100932473912477,-0.006795958345863972,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","601009.XSHG,601838.XSHG,600926.XSHG,601658.XSHG,600036.XSHG"
2021-08-23,2021-08-30,7,6,7,5,-0.02679995337836933,-0.03157294878875807,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","002142.XSHE,601658.XSHG,600926.XSHG,601838.XSHG,600036.XSHG"
2021-08-30,2021-09-06,7,6,7,5,0.06422590625128691,0.0715016070158403,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","600926.XSHG,601838.XSHG,601658.XSHG,601009.XSHG,002142.XSHE"
2021-09-06,2021-09-13,7,6,7,5,0.0547978066006481,0.0438312749486113,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","600926.XSHG,601009.XSHG,002142.XSHE,601658.XSHG,600036.XSHG"
2021-09-13,2021-09-22,7,6,7,5,-0.06079726486870903,-0.05265707905217518,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","002142.XSHE,601009.XSHG,600926.XSHG,601838.XSHG,600036.XSHG"
2021-09-22,2021-09-27,7,6,7,5,-0.01333907369370275,-0.018610160935473186,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","600926.XSHG,002142.XSHE,601009.XSHG,601658.XSHG,601838.XSHG"
2021-09-27,2021-10-08,7,6,7,5,0.034392672743850924,0.03695450914549507,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","600926.XSHG,601838.XSHG,002142.XSHE,601009.XSHG,600036.XSHG"
2021-10-08,2021-10-11,7,6,7,5,0.02854277312225073,0.031001451613198006,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","601009.XSHG,601658.XSHG,600926.XSHG,600036.XSHG,601838.XSHG"
2021-10-11,2021-10-18,7,6,7,5,-0.005815035459097244,-0.012269913890047945,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","601658.XSHG,601838.XSHG,002142.XSHE,600036.XSHG,600926.XSHG"
2021-10-18,2021-10-25,7,6,7,5,0.029984509455241053,0.030837054316228983,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","601838.XSHG,600926.XSHG,600036.XSHG,002142.XSHE,601658.XSHG"
2021-10-25,2021-11-01,7,6,7,5,-0.005825848693811911,0.011380468339209183,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","601838.XSHG,002142.XSHE,601009.XSHG,601658.XSHG,600036.XSHG"
2021-11-01,2021-11-08,7,6,7,5,-0.05069405088809585,-0.05611280759373052,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","600036.XSHG,601838.XSHG,600926.XSHG,002142.XSHE,601009.XSHG"
2021-11-08,2021-11-15,7,6,7,5,0.02712591004016856,0.03068785921058903,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","601009.XSHG,600926.XSHG,600036.XSHG,601658.XSHG,002142.XSHE"
2021-11-15,2021-11-22,7,6,7,5,-0.031118450112404123,-0.03503147724345081,"002142.XSHE,600036.XSHG,600908.XSHG,600926.XSHG,601009.XSHG,601658.XSHG,601838.XSHG","601009.XSHG,601658.XSHG,601838.XSHG,002142.XSHE,600036.XSHG"
