fold_id,strategy_name,rebalance_date,train_start,validation_start,validation_end,quarter_anchor_date,mode,momentum_col,stage1_count,hold_count,universe_count,stage1_actual_count,candidate_count,portfolio_return,holding_count
fold_01,direct_mom12_top6,2018-11-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,direct,score__mom12,,6,13,13,13,-0.0010849389,6
fold_01,quarterly_top20_mom12_top6,2018-11-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,quarterly_gate,score__mom12,,6,13,12,12,-0.0010849389,6
fold_01,mom12_top8_then_fundamental_top6,2018-11-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,8,6,13,8,13,-0.0011425354,6
fold_01,mom12_top10_then_fundamental_top6,2018-11-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,10,6,13,10,13,-0.0009515983,6
fold_01,mom12_top12_then_fundamental_top6,2018-11-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,12,6,13,12,13,-0.0009515983,6
fold_01,mom6_top8_then_fundamental_top6,2018-11-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,8,6,13,8,13,-0.0006646624,6
fold_01,mom6_top10_then_fundamental_top6,2018-11-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,10,6,13,10,13,-0.0009515983,6
fold_01,mom6_top12_then_fundamental_top6,2018-11-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,12,6,13,12,13,-0.0009515983,6
fold_01,mom12_top10_then_fundamental_top4,2018-11-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,10,4,13,10,13,-0.001232412,4
fold_01,mom12_top10_then_fundamental_top8,2018-11-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,10,8,13,10,13,-0.0008773493,8
fold_01,direct_mom12_top6,2018-12-03,2013-11-01,2018-11-01,2019-11-01,2018-11-01,direct,score__mom12,,6,12,12,12,-0.0037033315,6
fold_01,quarterly_top20_mom12_top6,2018-12-03,2013-11-01,2018-11-01,2019-11-01,2018-11-01,quarterly_gate,score__mom12,,6,12,11,11,-0.0037033315,6
fold_01,mom12_top8_then_fundamental_top6,2018-12-03,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,8,6,12,8,12,-0.0038779491,6
fold_01,mom12_top10_then_fundamental_top6,2018-12-03,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,10,6,12,10,12,-0.0038779491,6
fold_01,mom12_top12_then_fundamental_top6,2018-12-03,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,12,6,12,12,12,-0.0038779491,6
fold_01,mom6_top8_then_fundamental_top6,2018-12-03,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,8,6,12,8,12,-0.0038439895,6
fold_01,mom6_top10_then_fundamental_top6,2018-12-03,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,10,6,12,10,12,-0.0037917228,6
fold_01,mom6_top12_then_fundamental_top6,2018-12-03,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,12,6,12,12,12,-0.0038779491,6
fold_01,mom12_top10_then_fundamental_top4,2018-12-03,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,10,4,12,10,12,-0.0040683719,4
fold_01,mom12_top10_then_fundamental_top8,2018-12-03,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,10,8,12,10,12,-0.0035319725,8
fold_01,direct_mom12_top6,2019-01-02,2013-11-01,2018-11-01,2019-11-01,2018-11-01,direct,score__mom12,,6,12,12,12,0.0044817778,6
fold_01,quarterly_top20_mom12_top6,2019-01-02,2013-11-01,2018-11-01,2019-11-01,2018-11-01,quarterly_gate,score__mom12,,6,12,11,11,0.0044817778,6
fold_01,mom12_top8_then_fundamental_top6,2019-01-02,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,8,6,12,8,12,0.0038571984,6
fold_01,mom12_top10_then_fundamental_top6,2019-01-02,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,10,6,12,10,12,0.0045051348,6
fold_01,mom12_top12_then_fundamental_top6,2019-01-02,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,12,6,12,12,12,0.0045051348,6
fold_01,mom6_top8_then_fundamental_top6,2019-01-02,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,8,6,12,8,12,0.0049940733,6
fold_01,mom6_top10_then_fundamental_top6,2019-01-02,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,10,6,12,10,12,0.0049316366,6
fold_01,mom6_top12_then_fundamental_top6,2019-01-02,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,12,6,12,12,12,0.0045051348,6
fold_01,mom12_top10_then_fundamental_top4,2019-01-02,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,10,4,12,10,12,0.0050262831,4
fold_01,mom12_top10_then_fundamental_top8,2019-01-02,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,10,8,12,10,12,0.0042306632,8
fold_01,direct_mom12_top6,2019-02-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,direct,score__mom12,,6,14,14,14,0.0055144371,6
fold_01,quarterly_top20_mom12_top6,2019-02-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,quarterly_gate,score__mom12,,6,14,13,13,0.0055144371,6
fold_01,mom12_top8_then_fundamental_top6,2019-02-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,8,6,14,8,14,0.0061360042,6
fold_01,mom12_top10_then_fundamental_top6,2019-02-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,10,6,14,10,14,0.0065554566,6
fold_01,mom12_top12_then_fundamental_top6,2019-02-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,12,6,14,12,14,0.0063109572,6
fold_01,mom6_top8_then_fundamental_top6,2019-02-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,8,6,14,8,14,0.0055144371,6
fold_01,mom6_top10_then_fundamental_top6,2019-02-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,10,6,14,10,14,0.0055144371,6
fold_01,mom6_top12_then_fundamental_top6,2019-02-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,12,6,14,12,14,0.0056642008,6
fold_01,mom12_top10_then_fundamental_top4,2019-02-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,10,4,14,10,14,0.0059788808,4
fold_01,mom12_top10_then_fundamental_top8,2019-02-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,10,8,14,10,14,0.0061098476,8
fold_01,direct_mom12_top6,2019-03-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,direct,score__mom12,,6,13,13,13,-0.0010161535,6
fold_01,quarterly_top20_mom12_top6,2019-03-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,quarterly_gate,score__mom12,,6,13,12,12,-0.0010161535,6
fold_01,mom12_top8_then_fundamental_top6,2019-03-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,8,6,13,8,13,-0.0008540873,6
fold_01,mom12_top10_then_fundamental_top6,2019-03-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,10,6,13,10,13,-0.0007663588,6
fold_01,mom12_top12_then_fundamental_top6,2019-03-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,12,6,13,12,13,-0.0007663588,6
fold_01,mom6_top8_then_fundamental_top6,2019-03-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,8,6,13,8,13,-0.0015813981,6
fold_01,mom6_top10_then_fundamental_top6,2019-03-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,10,6,13,10,13,-0.0009698333,6
fold_01,mom6_top12_then_fundamental_top6,2019-03-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,12,6,13,12,13,-0.0007465071,6
fold_01,mom12_top10_then_fundamental_top4,2019-03-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,10,4,13,10,13,-0.0005404006,4
fold_01,mom12_top10_then_fundamental_top8,2019-03-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,10,8,13,10,13,-0.0010036507,8
fold_01,direct_mom12_top6,2019-04-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,direct,score__mom12,,6,14,14,14,-8.11883e-05,6
fold_01,quarterly_top20_mom12_top6,2019-04-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,quarterly_gate,score__mom12,,6,14,13,13,-0.0003370804,6
fold_01,mom12_top8_then_fundamental_top6,2019-04-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,8,6,14,8,14,-0.0002093086,6
fold_01,mom12_top10_then_fundamental_top6,2019-04-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,10,6,14,10,14,-0.0001281481,6
fold_01,mom12_top12_then_fundamental_top6,2019-04-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom12,12,6,14,12,14,7.13671e-05,6
fold_01,mom6_top8_then_fundamental_top6,2019-04-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,8,6,14,8,14,-0.0006861419,6
fold_01,mom6_top10_then_fundamental_top6,2019-04-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,10,6,14,10,14,-0.0003894815,6
fold_01,mom6_top12_then_fundamental_top6,2019-04-01,2013-11-01,2018-11-01,2019-11-01,2018-11-01,tiebreak,score__mom6,12,6,14,12,14,0.0001374272,6
