slice_type,slice_name,factor_name,years,pool_rows,usable_dates,rank_ic_mean,positive_ic_ratio,top_minus_bottom
state,mixed_flat,mom_12_1,2016,79,12,-0.23387202132256113,0.16666666666666666,-0.006672917868509147
state,mixed_flat,mom_3_1,2016,79,12,-0.13438913752650264,0.4166666666666667,-0.008763880559321311
state,mixed_flat,mom_6_1,2016,79,12,0.0007325913996326002,0.5833333333333334,0.007293703914651433
state,trend_up,mom_12_1,2017|2019,280,24,0.23655962093462093,0.75,0.024068038092701572
state,trend_up,mom_3_1,2017|2019,280,24,0.1264270451770452,0.625,0.013051492601128424
state,trend_up,mom_6_1,2017|2019,280,24,0.27315462315462313,0.75,0.027736161767055918
state,weak_down,mom_12_1,2015|2018|2020,439,36,-0.058734790623398175,0.4166666666666667,0.0003045060310661338
state,weak_down,mom_3_1,2015|2018|2020,439,36,-0.04907734236294609,0.3611111111111111,-0.006256087655332811
state,weak_down,mom_6_1,2015|2018|2020,439,36,-0.11221315475052555,0.3888888888888889,-0.00537375885002239
year,2015,mom_12_1,2015,91,12,-0.06884920634920638,0.25,-0.012499766077812067
year,2015,mom_3_1,2015,91,12,-0.08690476190476193,0.4166666666666667,-0.013926927424153268
year,2015,mom_6_1,2015,91,12,-0.11825396825396828,0.3333333333333333,-0.013183286059297458
year,2016,mom_12_1,2016,79,12,-0.23387202132256113,0.16666666666666666,-0.006672917868509147
year,2016,mom_3_1,2016,79,12,-0.13438913752650264,0.4166666666666667,-0.008763880559321311
year,2016,mom_6_1,2016,79,12,0.0007325913996326002,0.5833333333333334,0.007293703914651433
year,2017,mom_12_1,2017,113,12,0.3122696747696749,0.8333333333333334,0.024851110987981206
year,2017,mom_3_1,2017,113,12,0.174465811965812,0.75,0.013870166183016267
year,2017,mom_6_1,2017,113,12,0.3398740148740149,0.8333333333333334,0.028721783107111088
year,2018,mom_12_1,2018,149,12,-0.08235731550378823,0.4166666666666667,-0.0028636884778721907
year,2018,mom_3_1,2018,149,12,-0.10531135531135528,0.25,-0.019871058896065306
year,2018,mom_6_1,2018,149,12,-0.14185738444081664,0.4166666666666667,-0.011744235217009458
year,2019,mom_12_1,2019,167,12,0.1608495670995671,0.6666666666666666,0.02328496519742194
year,2019,mom_3_1,2019,167,12,0.0783882783882784,0.5,0.012232819019240589
year,2019,mom_6_1,2019,167,12,0.20643523143523146,0.6666666666666666,0.026750540427000754
year,2020,mom_12_1,2020,199,12,-0.02499785001719988,0.5833333333333334,0.016276972648882657
year,2020,mom_3_1,2020,199,12,0.04498409012727896,0.4166666666666667,0.01502972335422014
year,2020,mom_6_1,2020,199,12,-0.07652811155679172,0.4166666666666667,0.008806244726239745
