date,code,open,close,high,low,volume,money
2016-09-02,002807.XSHE,3.19,3.55,3.55,3.19,235797.0,836901.8
2016-09-05,002807.XSHE,3.91,3.91,3.91,3.91,93598.0,365890.35
2016-09-06,002807.XSHE,4.3,4.3,4.3,4.3,97534.0,419660.66
2016-09-07,002807.XSHE,4.73,4.73,4.73,4.73,188523.0,892376.3
2016-09-08,002807.XSHE,5.21,5.21,5.21,5.21,486180.0,2531478.62
2016-09-09,002807.XSHE,5.73,5.73,5.73,5.73,1326092.0,7595984.07
2016-09-12,002807.XSHE,6.3,6.3,6.3,6.3,3521109.0,22191803.1
2016-09-13,002807.XSHE,6.94,6.94,6.94,6.94,3145946.0,21818436.72
2016-09-14,002807.XSHE,7.63,7.63,7.63,7.63,5472308.0,41736354.9
2016-09-19,002807.XSHE,8.39,8.39,8.39,8.39,36336485.0,304768023.7
2016-09-20,002807.XSHE,8.62,8.73,9.2,8.42,257788030.0,2242982771.2
2016-09-21,002807.XSHE,8.51,8.35,8.67,8.32,141142451.0,1194641702.2
2016-09-22,002807.XSHE,8.46,8.05,8.59,8.01,143029943.0,1177528087.55
2016-09-23,002807.XSHE,7.97,7.66,8.11,7.63,101174230.0,792087728.61
2016-09-26,002807.XSHE,7.62,7.37,7.81,7.37,73884487.0,561618314.13
2016-09-27,002807.XSHE,7.34,7.17,7.43,6.89,96379543.0,688656221.73
2016-09-28,002807.XSHE,7.1,6.96,7.13,6.89,59526811.0,416421541.19
2016-09-29,002807.XSHE,6.97,6.99,7.22,6.96,60618480.0,428691100.33
2016-09-30,002807.XSHE,6.94,6.72,6.98,6.71,62537087.0,424934435.23
2016-10-10,002807.XSHE,6.77,6.91,6.91,6.68,55750765.0,380108652.62
2016-10-11,002807.XSHE,6.91,7.15,7.16,6.87,78287216.0,550693910.64
2016-10-12,002807.XSHE,7.02,6.97,7.08,6.94,50216686.0,351261419.16
2016-10-13,002807.XSHE,6.97,6.81,7.0,6.76,50492204.0,346693464.25
2016-10-14,002807.XSHE,6.81,6.88,7.02,6.77,47351581.0,327402672.06
2016-10-17,002807.XSHE,6.84,6.62,6.84,6.6,48668399.0,326278013.0
2016-10-18,002807.XSHE,6.6,6.65,6.66,6.49,42466312.0,279421890.25
2016-10-19,002807.XSHE,6.62,6.57,6.65,6.55,27648710.0,182262234.55
2016-10-20,002807.XSHE,6.57,6.54,6.61,6.49,23284041.0,152379272.87
2016-10-21,002807.XSHE,6.52,6.49,6.59,6.45,28372811.0,184804572.14
2016-10-24,002807.XSHE,6.51,6.63,6.73,6.48,51664346.0,342930604.8
2016-10-25,002807.XSHE,6.59,6.97,7.02,6.56,96245923.0,655806025.82
2016-10-26,002807.XSHE,6.88,6.83,6.97,6.78,64169137.0,439513482.68
2016-10-27,002807.XSHE,6.83,6.74,6.87,6.67,46493162.0,315301607.68
