date,code,open,close,high,low,volume,money
2016-11-29,603323.XSHG,3.55,4.26,4.26,3.55,178512.0,755830.0
2016-11-30,603323.XSHG,4.69,4.69,4.69,4.69,78351.0,367155.0
2016-12-01,603323.XSHG,5.15,5.15,5.15,5.15,152162.0,784210.0
2016-12-02,603323.XSHG,5.67,5.67,5.67,5.67,486961.0,2760668.0
2016-12-05,603323.XSHG,6.24,6.24,6.24,6.24,1324053.0,8257493.0
2016-12-06,603323.XSHG,6.86,6.86,6.86,6.86,1310865.0,8992764.0
2016-12-07,603323.XSHG,7.54,7.54,7.54,7.37,57298995.0,432109992.0
2016-12-08,603323.XSHG,7.82,8.3,8.3,7.67,164004775.0,1312026374.0
2016-12-09,603323.XSHG,8.1,7.66,8.1,7.55,145000835.0,1132111457.0
2016-12-12,603323.XSHG,7.56,7.24,7.86,7.18,93060324.0,701620274.0
2016-12-13,603323.XSHG,7.15,7.17,7.29,7.02,59072879.0,422445768.0
2016-12-14,603323.XSHG,7.1,7.01,7.34,6.99,57738962.0,413265491.0
2016-12-15,603323.XSHG,6.93,6.95,7.1,6.85,46449415.0,323254119.0
2016-12-16,603323.XSHG,6.96,6.91,7.08,6.86,34867101.0,242147685.0
2016-12-19,603323.XSHG,6.92,6.88,6.96,6.67,39645332.0,270430959.0
2016-12-20,603323.XSHG,6.84,6.89,6.96,6.79,28105335.0,193406917.0
2016-12-21,603323.XSHG,6.9,6.87,6.96,6.8,28638099.0,197063134.0
2016-12-22,603323.XSHG,6.87,6.84,6.93,6.71,29274495.0,200228741.0
2016-12-23,603323.XSHG,6.79,6.81,7.04,6.74,38076936.0,262296464.0
2016-12-26,603323.XSHG,6.67,7.06,7.1,6.62,44336070.0,306215009.0
2016-12-27,603323.XSHG,6.98,7.03,7.08,6.93,19015713.0,133416069.0
2016-12-28,603323.XSHG,7.02,7.02,7.05,6.97,13559141.0,95033634.0
2016-12-29,603323.XSHG,7.01,6.98,7.09,6.96,15244909.0,107229373.0
2016-12-30,603323.XSHG,6.93,6.7,7.02,6.69,23309348.0,159419189.0
2017-01-03,603323.XSHG,6.7,6.79,6.87,6.66,27739170.0,188627473.0
2017-01-04,603323.XSHG,6.77,6.74,6.81,6.71,16970517.0,114572917.0
2017-01-05,603323.XSHG,6.75,6.73,6.81,6.72,12775638.0,86301317.0
2017-01-06,603323.XSHG,6.73,6.64,6.79,6.63,11452577.0,76944696.0
2017-01-09,603323.XSHG,6.63,6.55,6.69,6.5,14887364.0,98025572.0
2017-01-10,603323.XSHG,6.54,6.45,6.56,6.42,12649916.0,82052259.0
2017-01-11,603323.XSHG,6.43,6.44,6.52,6.38,12479038.0,80526519.0
2017-01-12,603323.XSHG,6.42,6.3,6.47,6.28,9699846.0,61894711.0
2017-01-13,603323.XSHG,6.25,6.04,6.28,6.03,17552897.0,107955359.0
2017-01-16,603323.XSHG,6.02,5.7,6.04,5.61,17360222.0,101243708.0
2017-01-17,603323.XSHG,5.67,5.74,5.8,5.57,11200746.0,63781495.0
2017-01-18,603323.XSHG,5.7,5.64,5.72,5.63,8668723.0,49121478.0
2017-01-19,603323.XSHG,5.59,5.65,5.75,5.33,11887256.0,67253160.0
2017-01-20,603323.XSHG,5.61,5.84,6.03,5.6,14504085.0,84296446.0
2017-01-23,603323.XSHG,5.84,5.83,5.95,5.81,8415091.0,49489261.0
2017-01-24,603323.XSHG,5.85,5.8,5.92,5.77,8786529.0,51403024.0
2017-01-25,603323.XSHG,5.77,5.85,5.9,5.77,7720694.0,45105173.0
2017-01-26,603323.XSHG,5.83,5.95,6.0,5.83,11602097.0,68966559.0
2017-02-03,603323.XSHG,5.96,5.86,5.96,5.8,5532990.0,32427687.0
2017-02-06,603323.XSHG,5.85,5.96,5.97,5.85,8753802.0,51727860.0
2017-02-07,603323.XSHG,5.93,5.91,6.02,5.86,8762246.0,51971608.0
2017-02-08,603323.XSHG,5.86,6.08,6.08,5.79,16295257.0,97089609.0
2017-02-09,603323.XSHG,6.02,6.05,6.15,6.01,11129251.0,67650383.0
2017-02-10,603323.XSHG,6.06,6.23,6.38,6.05,30170785.0,189692992.0
2017-02-13,603323.XSHG,6.49,6.62,6.86,6.37,54098683.0,361282128.0
2017-02-14,603323.XSHG,6.73,6.55,6.75,6.37,37224374.0,244875863.0
2017-02-15,603323.XSHG,6.47,6.99,7.21,6.46,97236300.0,679406924.0
2017-02-16,603323.XSHG,7.01,7.22,7.66,6.88,108876154.0,776318333.0
2017-02-17,603323.XSHG,7.06,6.84,7.38,6.82,67329381.0,478403764.0
2017-02-20,603323.XSHG,6.75,7.52,7.52,6.67,37249731.0,270973502.0
2017-02-21,603323.XSHG,8.28,8.17,8.28,7.9,154133998.0,1269261564.0
2017-02-22,603323.XSHG,8.01,7.44,8.09,7.36,118706699.0,904962156.0
2017-02-23,603323.XSHG,7.4,7.28,7.44,7.15,71673457.0,523390149.0
2017-02-24,603323.XSHG,7.23,7.35,7.43,7.15,70870817.0,517356168.0
2017-02-27,603323.XSHG,7.25,7.14,7.37,7.0,61867863.0,444091898.0
