date,seq
2014-01-02,1
2014-01-03,2
2014-01-06,3
2014-01-07,4
2014-01-08,5
2014-01-09,6
2014-01-10,7
2014-01-13,8
2014-01-14,9
2014-01-15,10
2014-01-16,11
2014-01-17,12
2014-01-20,13
2014-01-21,14
2014-01-22,15
2014-01-23,16
2014-01-24,17
2014-01-27,18
2014-01-28,19
2014-01-29,20
2014-01-30,21
2014-02-07,22
2014-02-10,23
2014-02-11,24
2014-02-12,25
2014-02-13,26
2014-02-14,27
2014-02-17,28
2014-02-18,29
2014-02-19,30
2014-02-20,31
2014-02-21,32
2014-02-24,33
2014-02-25,34
2014-02-26,35
2014-02-27,36
2014-02-28,37
2014-03-03,38
2014-03-04,39
2014-03-05,40
2014-03-06,41
2014-03-07,42
2014-03-10,43
2014-03-11,44
2014-03-12,45
2014-03-13,46
2014-03-14,47
2014-03-17,48
2014-03-18,49
2014-03-19,50
2014-03-20,51
2014-03-21,52
2014-03-24,53
2014-03-25,54
2014-03-26,55
2014-03-27,56
2014-03-28,57
2014-03-31,58
2014-04-01,59
2014-04-02,60
2014-04-03,61
2014-04-04,62
2014-04-08,63
2014-04-09,64
2014-04-10,65
2014-04-11,66
2014-04-14,67
2014-04-15,68
2014-04-16,69
2014-04-17,70
2014-04-18,71
2014-04-21,72
2014-04-22,73
2014-04-23,74
2014-04-24,75
2014-04-25,76
2014-04-28,77
2014-04-29,78
2014-04-30,79
2014-05-05,80
2014-05-06,81
2014-05-07,82
2014-05-08,83
2014-05-09,84
2014-05-12,85
2014-05-13,86
2014-05-14,87
2014-05-15,88
2014-05-16,89
2014-05-19,90
2014-05-20,91
2014-05-21,92
2014-05-22,93
2014-05-23,94
2014-05-26,95
2014-05-27,96
2014-05-28,97
2014-05-29,98
2014-05-30,99
2014-06-03,100
2014-06-04,101
2014-06-05,102
2014-06-06,103
2014-06-09,104
2014-06-10,105
2014-06-11,106
2014-06-12,107
2014-06-13,108
2014-06-16,109
2014-06-17,110
2014-06-18,111
2014-06-19,112
2014-06-20,113
2014-06-23,114
2014-06-24,115
2014-06-25,116
2014-06-26,117
2014-06-27,118
2014-06-30,119
2014-07-01,120
2014-07-02,121
2014-07-03,122
2014-07-04,123
2014-07-07,124
2014-07-08,125
2014-07-09,126
2014-07-10,127
2014-07-11,128
2014-07-14,129
2014-07-15,130
2014-07-16,131
2014-07-17,132
2014-07-18,133
2014-07-21,134
2014-07-22,135
2014-07-23,136
2014-07-24,137
2014-07-25,138
2014-07-28,139
2014-07-29,140
2014-07-30,141
2014-07-31,142
2014-08-01,143
2014-08-04,144
2014-08-05,145
2014-08-06,146
2014-08-07,147
2014-08-08,148
2014-08-11,149
2014-08-12,150
2014-08-13,151
2014-08-14,152
2014-08-15,153
2014-08-18,154
2014-08-19,155
2014-08-20,156
2014-08-21,157
2014-08-22,158
2014-08-25,159
2014-08-26,160
2014-08-27,161
2014-08-28,162
2014-08-29,163
2014-09-01,164
2014-09-02,165
2014-09-03,166
2014-09-04,167
2014-09-05,168
2014-09-09,169
2014-09-10,170
2014-09-11,171
2014-09-12,172
2014-09-15,173
2014-09-16,174
2014-09-17,175
2014-09-18,176
2014-09-19,177
2014-09-22,178
2014-09-23,179
2014-09-24,180
2014-09-25,181
2014-09-26,182
2014-09-29,183
2014-09-30,184
2014-10-08,185
2014-10-09,186
2014-10-10,187
2014-10-13,188
2014-10-14,189
2014-10-15,190
2014-10-16,191
2014-10-17,192
2014-10-20,193
2014-10-21,194
2014-10-22,195
2014-10-23,196
2014-10-24,197
2014-10-27,198
2014-10-28,199
2014-10-29,200
2014-10-30,201
2014-10-31,202
2014-11-03,203
2014-11-04,204
2014-11-05,205
2014-11-06,206
2014-11-07,207
2014-11-10,208
2014-11-11,209
2014-11-12,210
2014-11-13,211
2014-11-14,212
2014-11-17,213
2014-11-18,214
2014-11-19,215
2014-11-20,216
2014-11-21,217
2014-11-24,218
2014-11-25,219
2014-11-26,220
2014-11-27,221
2014-11-28,222
2014-12-01,223
2014-12-02,224
2014-12-03,225
2014-12-04,226
2014-12-05,227
2014-12-08,228
2014-12-09,229
2014-12-10,230
2014-12-11,231
2014-12-12,232
2014-12-15,233
2014-12-16,234
2014-12-17,235
2014-12-18,236
2014-12-19,237
2014-12-22,238
2014-12-23,239
2014-12-24,240
2014-12-25,241
2014-12-26,242
2014-12-29,243
2014-12-30,244
2014-12-31,245
2015-01-05,246
2015-01-06,247
2015-01-07,248
2015-01-08,249
2015-01-09,250
2015-01-12,251
2015-01-13,252
2015-01-14,253
2015-01-15,254
2015-01-16,255
2015-01-19,256
2015-01-20,257
2015-01-21,258
2015-01-22,259
2015-01-23,260
2015-01-26,261
2015-01-27,262
2015-01-28,263
2015-01-29,264
2015-01-30,265
2015-02-02,266
2015-02-03,267
2015-02-04,268
2015-02-05,269
2015-02-06,270
2015-02-09,271
2015-02-10,272
2015-02-11,273
2015-02-12,274
2015-02-13,275
2015-02-16,276
2015-02-17,277
2015-02-25,278
2015-02-26,279
2015-02-27,280
2015-03-02,281
2015-03-03,282
2015-03-04,283
2015-03-05,284
2015-03-06,285
2015-03-09,286
2015-03-10,287
2015-03-11,288
2015-03-12,289
2015-03-13,290
2015-03-16,291
2015-03-17,292
2015-03-18,293
2015-03-19,294
2015-03-20,295
2015-03-23,296
2015-03-24,297
2015-03-25,298
2015-03-26,299
2015-03-27,300
2015-03-30,301
2015-03-31,302
2015-04-01,303
2015-04-02,304
2015-04-03,305
2015-04-07,306
2015-04-08,307
2015-04-09,308
2015-04-10,309
2015-04-13,310
2015-04-14,311
2015-04-15,312
2015-04-16,313
2015-04-17,314
2015-04-20,315
2015-04-21,316
2015-04-22,317
2015-04-23,318
2015-04-24,319
2015-04-27,320
2015-04-28,321
2015-04-29,322
2015-04-30,323
2015-05-04,324
2015-05-05,325
2015-05-06,326
2015-05-07,327
2015-05-08,328
2015-05-11,329
2015-05-12,330
2015-05-13,331
2015-05-14,332
2015-05-15,333
2015-05-18,334
2015-05-19,335
2015-05-20,336
2015-05-21,337
2015-05-22,338
2015-05-25,339
2015-05-26,340
2015-05-27,341
2015-05-28,342
2015-05-29,343
2015-06-01,344
2015-06-02,345
2015-06-03,346
2015-06-04,347
2015-06-05,348
2015-06-08,349
2015-06-09,350
2015-06-10,351
2015-06-11,352
2015-06-12,353
2015-06-15,354
2015-06-16,355
2015-06-17,356
2015-06-18,357
2015-06-19,358
2015-06-23,359
2015-06-24,360
2015-06-25,361
2015-06-26,362
2015-06-29,363
2015-06-30,364
2015-07-01,365
2015-07-02,366
2015-07-03,367
2015-07-06,368
2015-07-07,369
2015-07-08,370
2015-07-09,371
2015-07-10,372
2015-07-13,373
2015-07-14,374
2015-07-15,375
2015-07-16,376
2015-07-17,377
2015-07-20,378
2015-07-21,379
2015-07-22,380
2015-07-23,381
2015-07-24,382
2015-07-27,383
2015-07-28,384
2015-07-29,385
2015-07-30,386
2015-07-31,387
2015-08-03,388
2015-08-04,389
2015-08-05,390
2015-08-06,391
2015-08-07,392
2015-08-10,393
2015-08-11,394
2015-08-12,395
2015-08-13,396
2015-08-14,397
2015-08-17,398
2015-08-18,399
2015-08-19,400
2015-08-20,401
2015-08-21,402
2015-08-24,403
2015-08-25,404
2015-08-26,405
2015-08-27,406
2015-08-28,407
2015-08-31,408
2015-09-01,409
2015-09-02,410
2015-09-07,411
2015-09-08,412
2015-09-09,413
2015-09-10,414
2015-09-11,415
2015-09-14,416
2015-09-15,417
2015-09-16,418
2015-09-17,419
2015-09-18,420
2015-09-21,421
2015-09-22,422
2015-09-23,423
2015-09-24,424
2015-09-25,425
2015-09-28,426
2015-09-29,427
2015-09-30,428
2015-10-08,429
2015-10-09,430
2015-10-12,431
2015-10-13,432
2015-10-14,433
2015-10-15,434
2015-10-16,435
2015-10-19,436
2015-10-20,437
2015-10-21,438
2015-10-22,439
2015-10-23,440
2015-10-26,441
2015-10-27,442
2015-10-28,443
2015-10-29,444
2015-10-30,445
2015-11-02,446
2015-11-03,447
2015-11-04,448
2015-11-05,449
2015-11-06,450
2015-11-09,451
2015-11-10,452
2015-11-11,453
2015-11-12,454
2015-11-13,455
2015-11-16,456
2015-11-17,457
2015-11-18,458
2015-11-19,459
2015-11-20,460
2015-11-23,461
2015-11-24,462
2015-11-25,463
2015-11-26,464
2015-11-27,465
2015-11-30,466
2015-12-01,467
2015-12-02,468
2015-12-03,469
2015-12-04,470
2015-12-07,471
2015-12-08,472
2015-12-09,473
2015-12-10,474
2015-12-11,475
2015-12-14,476
2015-12-15,477
2015-12-16,478
2015-12-17,479
2015-12-18,480
2015-12-21,481
2015-12-22,482
2015-12-23,483
2015-12-24,484
2015-12-25,485
2015-12-28,486
2015-12-29,487
2015-12-30,488
2015-12-31,489
2016-01-04,490
2016-01-05,491
2016-01-06,492
2016-01-07,493
2016-01-08,494
2016-01-11,495
2016-01-12,496
2016-01-13,497
2016-01-14,498
2016-01-15,499
2016-01-18,500
2016-01-19,501
2016-01-20,502
2016-01-21,503
2016-01-22,504
2016-01-25,505
2016-01-26,506
2016-01-27,507
2016-01-28,508
2016-01-29,509
2016-02-01,510
2016-02-02,511
2016-02-03,512
2016-02-04,513
2016-02-05,514
2016-02-15,515
2016-02-16,516
2016-02-17,517
2016-02-18,518
2016-02-19,519
2016-02-22,520
2016-02-23,521
2016-02-24,522
2016-02-25,523
2016-02-26,524
2016-02-29,525
2016-03-01,526
2016-03-02,527
2016-03-03,528
2016-03-04,529
2016-03-07,530
2016-03-08,531
2016-03-09,532
2016-03-10,533
2016-03-11,534
2016-03-14,535
2016-03-15,536
2016-03-16,537
2016-03-17,538
2016-03-18,539
2016-03-21,540
2016-03-22,541
2016-03-23,542
