date,code,open,close,high,low,volume,money
2022-01-17,001227.XSHE,3.62,4.35,4.35,3.62,125615904.0,537479078.0
2022-01-18,001227.XSHE,4.78,4.78,4.78,4.78,12667896.0,60519743.0
2022-01-19,001227.XSHE,5.26,5.26,5.26,4.91,172835490.0,905467137.0
2022-01-20,001227.XSHE,5.49,5.78,5.78,4.86,395868951.0,2163390045.0
2022-01-21,001227.XSHE,5.82,6.09,6.36,5.7,475124295.0,2940120064.0
2022-01-24,001227.XSHE,5.48,5.48,5.73,5.48,79922589.0,439198815.0
2022-01-25,001227.XSHE,4.93,4.93,5.23,4.93,345292807.0,1721411861.0
2022-01-26,001227.XSHE,4.75,4.48,4.9,4.44,306939798.0,1397912617.0
2022-01-27,001227.XSHE,4.29,4.93,4.93,4.17,258977651.0,1187870596.0
2022-01-28,001227.XSHE,4.78,4.48,5.11,4.44,283355276.0,1346306020.0
2022-02-07,001227.XSHE,4.48,4.63,4.89,4.31,234890153.0,1074829900.0
2022-02-08,001227.XSHE,4.57,5.09,5.09,4.49,316911851.0,1576883389.0
2022-02-09,001227.XSHE,5.33,5.34,5.6,5.08,445899379.0,2410052801.0
2022-02-10,001227.XSHE,5.14,5.27,5.35,4.95,294973700.0,1520715338.0
2022-02-11,001227.XSHE,5.22,5.79,5.79,5.2,388499187.0,2159573913.0
2022-02-14,001227.XSHE,5.5,5.28,5.72,5.22,305900827.0,1675045987.0
2022-02-15,001227.XSHE,5.21,5.4,5.51,5.21,218971358.0,1172120406.0
2022-02-16,001227.XSHE,5.39,5.36,5.47,5.16,176206336.0,936069593.0
2022-02-17,001227.XSHE,5.24,4.97,5.28,4.92,232999540.0,1179559731.0
2022-02-18,001227.XSHE,4.91,5.01,5.07,4.76,165121602.0,815126296.0
2022-02-21,001227.XSHE,4.91,4.91,5.0,4.85,134920170.0,660645255.0
2022-02-22,001227.XSHE,4.82,4.78,4.97,4.74,133024014.0,641622851.0
2022-02-23,001227.XSHE,4.77,4.83,4.86,4.66,138185330.0,655507598.0
2022-02-24,001227.XSHE,4.74,4.79,4.92,4.66,162300704.0,779059736.0
2022-02-25,001227.XSHE,4.78,4.73,4.85,4.71,87445341.0,415597721.0
2022-02-28,001227.XSHE,4.72,4.59,4.75,4.55,83523358.0,385066748.0
2022-03-01,001227.XSHE,4.58,4.74,4.75,4.56,108569596.0,503830014.0
2022-03-02,001227.XSHE,4.67,4.68,4.74,4.63,73964136.0,346311730.0
2022-03-03,001227.XSHE,4.71,4.63,4.75,4.63,72639458.0,339690925.0
2022-03-04,001227.XSHE,4.57,4.43,4.59,4.41,91276020.0,408033629.0
2022-03-07,001227.XSHE,4.38,4.44,4.52,4.36,69742414.0,309160055.0
2022-03-08,001227.XSHE,4.41,4.52,4.62,4.31,115404520.0,514427500.0
2022-03-09,001227.XSHE,4.5,4.96,4.96,4.41,353137805.0,1705075737.0
2022-03-10,001227.XSHE,4.77,4.7,4.82,4.66,265396764.0,1253828533.0
2022-03-11,001227.XSHE,4.58,4.76,4.89,4.49,216006723.0,1008780528.0
2022-03-14,001227.XSHE,4.59,4.54,4.71,4.54,123498659.0,570830538.0
2022-03-15,001227.XSHE,4.49,4.55,4.85,4.43,167572285.0,777779307.0
2022-03-16,001227.XSHE,4.49,5.01,5.01,4.49,354603763.0,1722356473.0
2022-03-17,001227.XSHE,4.88,4.91,5.04,4.77,340100155.0,1667071660.0
2022-03-18,001227.XSHE,5.01,5.15,5.39,4.92,338968583.0,1726520482.0
2022-03-21,001227.XSHE,4.95,5.01,5.06,4.91,212723650.0,1060269409.0
2022-03-22,001227.XSHE,5.04,5.17,5.5,4.99,312633797.0,1619319569.0
2022-03-23,001227.XSHE,5.04,4.99,5.12,4.95,219342103.0,1101448570.0
2022-03-24,001227.XSHE,5.02,4.86,5.07,4.86,169870175.0,844965140.0
2022-03-25,001227.XSHE,4.8,4.85,4.97,4.78,124055254.0,603312086.0
2022-03-28,001227.XSHE,4.78,4.85,4.96,4.62,135482059.0,650132712.0
2022-03-29,001227.XSHE,4.81,4.87,4.92,4.74,109711053.0,531824271.0
2022-03-30,001227.XSHE,4.87,5.02,5.17,4.84,206497748.0,1033002642.0
2022-03-31,001227.XSHE,4.95,5.12,5.31,4.92,240354190.0,1235501569.0
2022-04-01,001227.XSHE,5.07,5.27,5.46,5.03,249242773.0,1318850570.0
2022-04-06,001227.XSHE,5.28,5.24,5.5,5.19,253811050.0,1353727748.0
2022-04-07,001227.XSHE,5.25,5.15,5.39,5.09,198313289.0,1039783652.0
2022-04-08,001227.XSHE,5.07,5.25,5.37,5.03,183719915.0,954834001.0
2022-04-11,001227.XSHE,5.07,4.79,5.1,4.74,164159532.0,800393830.0
2022-04-12,001227.XSHE,4.75,4.85,4.94,4.61,136615047.0,653270843.0
2022-04-13,001227.XSHE,4.76,4.74,4.89,4.72,102290211.0,490128760.0
