date,code,open,close,high,low,volume,money
2014-01-02,601939.XSHG,2.15,2.14,2.15,2.12,66633255.0,142131584.0
2014-01-03,601939.XSHG,2.13,2.12,2.14,2.09,59377539.0,125251392.0
2014-01-06,601939.XSHG,2.12,2.13,2.13,2.06,83708004.0,174930928.0
2014-01-07,601939.XSHG,2.1,2.09,2.11,2.08,49595684.0,103534720.0
2014-01-08,601939.XSHG,2.09,2.07,2.09,2.06,52809428.0,109696544.0
2014-01-09,601939.XSHG,2.07,2.06,2.08,2.05,38146009.0,78929464.0
2014-01-10,601939.XSHG,2.06,2.06,2.07,2.05,32529967.0,67024840.0
2014-01-13,601939.XSHG,2.07,2.09,2.09,2.06,50163575.0,104153720.0
2014-01-14,601939.XSHG,2.09,2.08,2.09,2.06,25775499.0,53598660.0
2014-01-15,601939.XSHG,2.08,2.07,2.09,2.06,27171502.0,56138264.0
2014-01-16,601939.XSHG,2.06,2.05,2.06,2.04,46983546.0,96302136.0
2014-01-17,601939.XSHG,2.04,2.05,2.05,2.02,52343136.0,106618760.0
2014-01-20,601939.XSHG,2.04,2.03,2.05,2.03,19658320.0,40059704.0
2014-01-21,601939.XSHG,2.04,2.04,2.05,2.03,23214571.0,47403388.0
2014-01-22,601939.XSHG,2.04,2.06,2.06,2.04,50840330.0,104373104.0
2014-01-23,601939.XSHG,2.05,2.04,2.06,2.04,36992691.0,75601312.0
2014-01-24,601939.XSHG,2.04,2.04,2.05,2.03,32524566.0,66480984.0
2014-01-27,601939.XSHG,2.04,2.04,2.04,2.03,32301944.0,65612768.0
2014-01-28,601939.XSHG,2.04,2.05,2.05,2.04,37392829.0,76512800.0
2014-01-29,601939.XSHG,2.05,2.06,2.07,2.05,26351112.0,54254116.0
2014-01-30,601939.XSHG,2.06,2.05,2.06,2.05,25545564.0,52452016.0
2014-02-07,601939.XSHG,2.04,2.05,2.05,2.03,30674209.0,62455496.0
2014-02-10,601939.XSHG,2.06,2.06,2.06,2.04,63634069.0,130781856.0
2014-02-11,601939.XSHG,2.05,2.08,2.1,2.04,121458900.0,251662016.0
2014-02-12,601939.XSHG,2.08,2.07,2.09,2.07,55721125.0,115685088.0
2014-02-13,601939.XSHG,2.07,2.08,2.1,2.07,90170585.0,187660784.0
2014-02-14,601939.XSHG,2.08,2.08,2.09,2.07,32828026.0,68328784.0
2014-02-17,601939.XSHG,2.09,2.09,2.09,2.08,54271268.0,113179456.0
2014-02-18,601939.XSHG,2.08,2.06,2.09,2.06,42866663.0,88909264.0
2014-02-19,601939.XSHG,2.06,2.09,2.1,2.06,82367923.0,171862864.0
2014-02-20,601939.XSHG,2.09,2.08,2.1,2.07,50550731.0,105456912.0
2014-02-21,601939.XSHG,2.08,2.06,2.08,2.06,38445411.0,79627760.0
2014-02-24,601939.XSHG,2.06,2.03,2.06,2.02,53372778.0,108427872.0
2014-02-25,601939.XSHG,2.03,2.02,2.03,2.01,54434316.0,109900624.0
2014-02-26,601939.XSHG,2.01,2.01,2.03,2.01,29036805.0,58477672.0
2014-02-27,601939.XSHG,2.01,2.03,2.03,2.0,45072406.0,90686264.0
2014-02-28,601939.XSHG,2.02,2.01,2.02,2.0,47854037.0,96283952.0
2014-03-03,601939.XSHG,2.01,2.0,2.02,1.99,59638985.0,119475896.0
2014-03-04,601939.XSHG,2.0,2.0,2.0,1.99,55441645.0,110459920.0
2014-03-05,601939.XSHG,2.0,2.0,2.0,1.99,40220350.0,80199872.0
2014-03-06,601939.XSHG,1.99,2.01,2.02,1.99,39510450.0,78899112.0
2014-03-07,601939.XSHG,2.01,2.0,2.01,2.0,37369659.0,74842784.0
2014-03-10,601939.XSHG,1.99,1.97,2.0,1.96,45562279.0,90142592.0
2014-03-11,601939.XSHG,1.97,1.97,1.97,1.96,25077540.0,49252316.0
2014-03-12,601939.XSHG,1.97,1.97,1.98,1.95,37157451.0,72976032.0
2014-03-13,601939.XSHG,1.97,1.99,2.03,1.97,71931946.0,144045360.0
2014-03-14,601939.XSHG,1.98,1.99,1.99,1.96,45404551.0,89557360.0
2014-03-17,601939.XSHG,1.99,1.99,2.0,1.97,30094141.0,59695080.0
2014-03-18,601939.XSHG,1.99,1.99,2.0,1.97,20839575.0,41330936.0
2014-03-19,601939.XSHG,1.98,1.97,1.98,1.96,23858968.0,46977992.0
