code,listed_start,folder,price_exists,valuation_exists,price_rows,valuation_rows,price_has_date,valuation_has_date,price_row_match_valuation,valuation_first_date,valuation_last_date,price_header,valuation_header,status
000001.XSHE,1991-04-03,000001_XSHE,True,True,2996,2996,False,True,True,2014-01-02,2026-04-30,"open,close,high,low,volume,money","day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,field_set",blocked_price_missing_date
001227.XSHE,2022-01-17,001227_XSHE,True,True,1037,1037,False,True,True,2022-01-17,2026-04-30,"open,close,high,low,volume,money","day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,field_set",blocked_price_missing_date
002142.XSHE,2007-07-19,002142_XSHE,True,True,2996,2996,False,True,True,2014-01-02,2026-04-30,"open,close,high,low,volume,money","day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,field_set",blocked_price_missing_date
002807.XSHE,2016-09-02,002807_XSHE,True,True,2342,2342,False,True,True,2016-09-02,2026-04-30,"open,close,high,low,volume,money","day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,field_set",blocked_price_missing_date
002839.XSHE,2017-01-24,002839_XSHE,True,True,2248,2248,False,True,True,2017-01-24,2026-04-30,"open,close,high,low,volume,money","day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,field_set",blocked_price_missing_date
002936.XSHE,2018-09-19,002936_XSHE,True,True,1843,1843,False,True,True,2018-09-19,2026-04-30,"open,close,high,low,volume,money","day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,field_set",blocked_price_missing_date
002948.XSHE,2019-01-16,002948_XSHE,True,True,1766,1766,False,True,True,2019-01-16,2026-04-30,"open,close,high,low,volume,money","day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,field_set",blocked_price_missing_date
002958.XSHE,2019-03-26,002958_XSHE,True,True,1722,1722,False,True,True,2019-03-26,2026-04-30,"open,close,high,low,volume,money","day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,field_set",blocked_price_missing_date
002966.XSHE,2019-08-02,002966_XSHE,True,True,1634,1634,False,True,True,2019-08-02,2026-04-30,"open,close,high,low,volume,money","day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,field_set",blocked_price_missing_date
600000.XSHG,1999-11-10,600000_XSHG,True,True,2996,2996,False,True,True,2014-01-02,2026-04-30,"open,close,high,low,volume,money","day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,field_set",blocked_price_missing_date
600015.XSHG,2003-09-12,600015_XSHG,True,True,2996,2996,False,True,True,2014-01-02,2026-04-30,"open,close,high,low,volume,money","day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,field_set",blocked_price_missing_date
600016.XSHG,2000-12-19,600016_XSHG,True,True,2996,2996,False,True,True,2014-01-02,2026-04-30,"open,close,high,low,volume,money","day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,field_set",blocked_price_missing_date
600036.XSHG,2002-04-09,600036_XSHG,True,True,2996,2996,False,True,True,2014-01-02,2026-04-30,"open,close,high,low,volume,money","day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,field_set",blocked_price_missing_date
