rebalance_date,quarter_end_date,bond_code,trade_day_count,start_close,end_close,period_total_return,bond_forward_return
2017-05-02,2017-09-01,511260.XSHG,87,99.487,99.866,0.003809543,0.0006355424
2017-09-01,2017-11-01,511260.XSHG,39,99.866,99.4,-0.0046662528,-0.0001222632
2017-11-01,2018-05-02,511260.XSHG,121,99.4,101.091,0.0170120724,0.0001446786
2018-05-02,2018-09-03,511260.XSHG,88,101.091,102.39,0.0128498086,0.000149489
2018-09-03,2018-11-01,511260.XSHG,38,102.39,103.471,0.0105576716,0.0002845637
2018-11-01,2019-05-06,511260.XSHG,122,103.471,105.09,0.0156468962,0.0001296964
2019-05-06,2019-09-02,511260.XSHG,85,105.09,108.05,0.0281663336,0.000331576
2019-09-02,2019-11-01,511260.XSHG,39,108.05,106.741,-0.0121147617,-0.0003201609
2019-11-01,2020-05-06,511260.XSHG,123,106.741,114.289,0.0707132217,0.0005629162
2020-05-06,2020-09-01,511260.XSHG,83,114.289,110.117,-0.0365039505,-0.000449669
2020-09-01,2020-11-02,511260.XSHG,39,110.117,110.332,0.0019524687,5.34363e-05
2020-11-02,2021-05-06,511260.XSHG,124,110.332,111.638,0.0118370011,9.6598e-05
2021-05-06,2021-09-01,511260.XSHG,84,111.638,115.004,0.0301510238,0.0003589882
2021-09-01,2021-11-01,511260.XSHG,37,115.004,114.672,-0.0028868561,-7.97223e-05
2021-11-01,2022-05-05,511260.XSHG,123,114.672,117.174,0.0218187526,0.0001779349
2022-05-05,2022-09-01,511260.XSHG,85,117.174,119.984,0.0239814293,0.0002827439
2022-09-01,2022-11-01,511260.XSHG,38,119.984,120.081,0.0008084411,2.29476e-05
2022-11-01,2023-05-04,511260.XSHG,123,120.081,120.964,0.0073533698,6.07513e-05
2023-05-04,2023-09-01,511260.XSHG,85,120.964,123.304,0.0193445984,0.0002287921
2023-09-01,2023-11-01,511260.XSHG,38,123.304,123.176,-0.0010380847,-2.74712e-05
2023-11-01,2024-05-06,511260.XSHG,122,123.176,127.336,0.0337728129,0.0002754185
2024-05-06,2024-09-02,511260.XSHG,85,127.336,130.382,0.023920965,0.0002826972
2024-09-02,2024-11-01,511260.XSHG,38,130.382,130.919,0.0041186667,0.0001133699
2024-11-01,2025-05-06,511260.XSHG,122,130.919,136.5,0.0426294121,0.0003469173
2025-05-06,2025-09-01,511260.XSHG,84,136.5,135.719,-0.0057216117,-6.86432e-05
2025-09-01,2025-11-03,511260.XSHG,40,135.719,135.306,-0.0030430522,-7.57326e-05
