fold_id,signal_name,signal_col,threshold_q,rebalance_date,annual_anchor_date,annual_state_score,annual_state_bucket,release_signal_value,release_signal_cut,final_state_bucket,fundamental_budget,momentum_budget,universe_count,portfolio_return,invested_weight,cash_weight
fold_01,mom6_positive_ratio_q67,mom6_positive_ratio,0.67,2018-11-01,2018-05-02,-0.3125,neutral_flat,0.307692,1.0,neutral_flat,0.8,0.2,12,-0.0005335706,0.799231,0.200769
fold_01,mom6_positive_ratio_q67,mom6_positive_ratio,0.67,2018-12-03,2018-05-02,-0.3125,neutral_flat,1.0,1.0,neutral_flat,0.8,0.2,11,-0.0027746822,0.746364,0.253636
fold_01,mom6_positive_ratio_q67,mom6_positive_ratio,0.67,2019-01-02,2018-05-02,-0.3125,neutral_flat,1.0,1.0,neutral_flat,0.8,0.2,11,0.0031028512,0.746364,0.253636
fold_01,mom6_positive_ratio_q67,mom6_positive_ratio,0.67,2019-02-01,2018-05-02,-0.3125,neutral_flat,0.285714,1.0,neutral_flat,0.8,0.2,13,0.005171008,0.85,0.15
fold_01,mom6_positive_ratio_q67,mom6_positive_ratio,0.67,2019-03-01,2018-05-02,-0.3125,neutral_flat,0.615385,1.0,neutral_flat,0.8,0.2,12,-0.0009220525,0.799231,0.200769
fold_01,mom6_positive_ratio_q67,mom6_positive_ratio,0.67,2019-04-01,2018-05-02,-0.3125,neutral_flat,1.0,1.0,neutral_flat,0.8,0.2,13,-0.0002696372,0.85,0.15
fold_01,mom6_positive_ratio_q67,mom6_positive_ratio,0.67,2019-05-06,2019-05-06,-0.555556,weak_down,0.785714,1.0,weak_down,1.0,0.0,13,-0.0006022309,0.65,0.35
fold_01,mom6_positive_ratio_q67,mom6_positive_ratio,0.67,2019-06-03,2019-05-06,-0.555556,weak_down,1.0,1.0,neutral_flat,0.8,0.2,13,0.0023369566,0.85,0.15
fold_01,mom6_positive_ratio_q67,mom6_positive_ratio,0.67,2019-07-01,2019-05-06,-0.555556,weak_down,1.0,1.0,neutral_flat,0.8,0.2,13,-9.10968e-05,0.85,0.15
fold_01,mom6_positive_ratio_q67,mom6_positive_ratio,0.67,2019-08-01,2019-05-06,-0.555556,weak_down,0.857143,1.0,weak_down,1.0,0.0,13,-0.0012603947,0.65,0.35
fold_01,mom6_positive_ratio_q67,mom6_positive_ratio,0.67,2019-09-02,2019-05-06,-0.555556,weak_down,0.5,1.0,weak_down,1.0,0.0,13,0.0013195201,0.65,0.35
fold_01,mom6_positive_ratio_q67,mom6_positive_ratio,0.67,2019-10-08,2019-05-06,-0.555556,weak_down,0.285714,1.0,weak_down,1.0,0.0,13,0.0018078537,0.65,0.35
